City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,richards bay,-28.783,32.0377,66.72,85,100,12.21,ZA,1699415221
222,naze,28.3667,129.4833,74.32,59,100,5.95,JP,1699415000
223,taunggyi,20.7833,97.0333,73.49,61,51,2.75,MM,1699415222
224,iskateley,67.6803,53.1512,33.03,100,100,8.99,RU,1699415222
225,yeosu,34.7546,127.6599,57.88,47,23,5.32,KR,1699415088
226,greenville,35.6127,-77.3663,62.64,76,0,5.75,US,1699415222
227,majdanpek,44.4277,21.946,49.98,98,94,2.35,RS,1699415223
228,brookings,44.3114,-96.7984,47.17,83,100,0.0,US,1699415223
229,xilin hot,43.9667,116.0333,20.23,61,100,7.87,CN,1699415043
230,susuman,62.7833,148.1667,-8.97,97,99,1.23,RU,1699415223
231,belyy yar,53.6039,91.3903,10.29,92,100,0.0,RU,1699415223
232,arkhangel'sk,64.5401,40.5433,33.13,99,100,9.93,RU,1699415224
233,goure,13.9835,10.2704,74.28,15,33,9.13,NE,1699415225
234,ramhormoz,31.28,49.6035,71.89,36,0,1.05,IR,1699415225
235,chibougamau,49.9168,-74.3659,22.62,86,100,14.97,CA,1699415225
236,tomelilla,55.5429,13.9546,46.45,86,99,17.29,SE,1699415225
237,bel ombre,-4.6167,55.4167,78.64,89,40,3.44,SC,1699415226
238,nikolayevsk-on-amure,53.1406,140.73,27.37,85,87,3.83,RU,1699415226
239,feodosiya,45.0333,35.3833,58.24,79,55,9.82,UA,1699415212
240,ponta delgada,37.7333,-25.6667,69.19,88,75,17.27,PT,1699414983
241,port moresby,-9.4431,147.1797,87.22,66,40,17.27,PG,1699415052
242,tolanaro,-25.0319,46.9987,73.47,78,20,21.85,MG,1699415227
243,waingapu,-9.6567,120.2641,88.88,58,7,11.7,ID,1699415228
244,sitka,57.0531,-135.33,46.29,76,100,10.36,US,1699415228
245,san jeronimo de juarez,17.1333,-100.4667,79.97,87,50,3.91,MX,1699415228
246,qurayyat,31.3318,37.3428,55.58,50,0,4.61,SA,1699415228
247,bengkulu,-3.8004,102.2655,80.89,80,100,5.1,ID,1699415228
248,weno,7.4515,151.8468,78.75,94,100,13.76,FM,1699415229
249,saskatoon,52.1168,-106.6345,33.78,100,100,4.61,CA,1699415229
250,puerto deseado,-47.7503,-65.8938,51.51,59,63,12.28,AR,1699415229
251,fort mcmurray,56.7268,-111.381,36.99,87,100,4.61,CA,1699415229
252,aykhal,66.0,111.5,0.5,93,31,4.54,RU,1699415230
253,kapa'a,22.0752,-159.319,84.18,81,40,14.97,US,1699415230
254,el nido,11.1858,119.3956,84.7,76,100,14.29,PH,1699415187
255,rabo de peixe,37.8,-25.5833,67.98,99,75,16.11,PT,1699415230
256,castro,-24.7911,-50.0119,56.14,92,0,4.36,BR,1699415231
257,mossel bay,-34.1831,22.146,57.13,71,7,3.09,ZA,1699415231
258,zarautz,43.2844,-2.1699,50.2,81,100,8.41,ES,1699415231
259,porto novo,6.4965,2.6036,80.42,88,96,2.95,BJ,1699415231
260,majene,-3.5403,118.9707,86.74,59,27,6.69,ID,1699415232
261,aswan,24.0934,32.907,76.3,41,0,3.44,EG,1699414981
262,laguna,38.421,-121.4238,59.05,63,0,5.75,US,1699414965
263,nishinoomote,30.7333,131.0,72.16,68,75,5.75,JP,1699414938
264,khandyga,62.6667,135.6,-12.5,93,35,0.43,RU,1699415232
265,cole harbour,44.6724,-63.4751,54.18,94,100,20.71,CA,1699415233
266,carutapera,-1.195,-46.02,78.91,78,70,8.1,BR,1699415233
267,gornyy,55.1153,83.9059,24.84,95,100,7.34,RU,1699415233
268,severo-yeniseyskiy,60.3725,93.0408,9.57,90,100,3.0,RU,1699415233
269,guanica,17.9716,-66.908,80.06,65,11,4.99,PR,1699415234
270,novodvinsk,64.4165,40.8122,32.79,99,100,8.95,RU,1699415234
271,maracas,-13.4411,-40.4308,61.86,86,99,7.23,BR,1699415235
272,yermentau,51.6214,73.1069,42.01,29,10,6.33,KZ,1699415235
273,okhotsk,59.3833,143.3,10.13,73,0,13.27,RU,1699415236
274,howrah,22.5892,88.3103,80.6,61,15,3.44,IN,1699415236
275,diego martin,10.7005,-61.5342,74.98,85,100,4.21,TT,1699415236
276,usogorsk,63.4106,48.6872,38.66,99,100,6.62,RU,1699415236
277,coquimbo,-29.9533,-71.3436,58.73,88,0,9.22,CL,1699415237
278,dongola,19.1667,30.4833,75.54,57,0,6.4,SD,1699415237
279,doka,13.5167,35.7667,75.67,71,69,4.79,SD,1699415237
280,urangan,-25.3,152.9,74.26,53,58,13.47,AU,1699415115
281,new norfolk,-42.7826,147.0587,72.9,54,54,4.54,AU,1699415237
282,labrador city,52.9463,-66.9114,17.51,86,100,16.11,CA,1699415238
283,port blair,11.6667,92.75,86.04,79,40,9.22,IN,1699415112
284,zalingei,12.9096,23.4741,73.17,29,71,7.99,SD,1699415238
285,bargaal,11.2864,51.0773,79.93,73,100,8.03,SO,1699415238
286,kabare,-2.4683,28.8242,60.46,93,72,1.88,CD,1699415238
287,usinsk,65.9939,57.5281,35.08,100,100,11.99,RU,1699415239
288,bowen,-20.0167,148.2333,78.6,68,16,18.37,AU,1699415239
289,sanchazi,42.0817,126.6003,41.18,50,97,4.85,CN,1699415239
290,gunnison,38.7,-107.0673,41.85,40,41,14.58,US,1699415239
291,nkhotakota,-12.9274,34.2961,80.85,62,21,10.09,MW,1699415240
292,kavieng,-2.5744,150.7967,83.73,76,100,12.3,PG,1699415240
293,san jose del guaviare,2.5729,-72.6459,74.05,95,100,0.31,CO,1699415240
294,college,64.8569,-147.8028,11.07,85,20,0.0,US,1699415241
295,margate,51.3813,1.3862,45.88,84,100,4.0,GB,1699415241
296,santa quiteria,-4.3319,-40.1567,77.27,64,6,4.23,BR,1699415241
297,port nelson,23.6333,-74.8333,79.95,69,54,14.52,BS,1699415242
298,saint john,45.2727,-66.0677,51.8,100,100,3.44,CA,1699415242
299,alice springs,-23.7,133.8833,94.55,11,100,13.8,AU,1699415144
300,carmelo,-33.9892,-58.2856,68.7,94,54,11.83,UY,1699415242
301,ardestan,33.3761,52.3694,58.71,35,0,4.45,IR,1699415242
302,kristiansund,63.1115,7.732,41.65,87,100,1.14,NO,1699415243
303,port hedland,-20.3167,118.5667,93.25,49,5,12.66,AU,1699415140
304,okha,53.5739,142.9478,30.61,61,29,12.66,RU,1699415178
305,cabo san lucas,22.8909,-109.9124,83.75,73,95,1.45,MX,1699415243
306,tual,-5.6667,132.75,81.28,77,17,9.28,ID,1699415244
307,saint-philippe,-21.3585,55.7679,72.99,85,97,10.67,RE,1699415244
308,champerico,14.3,-91.9167,80.65,84,73,4.29,GT,1699415244
309,joshimath,30.5667,79.5667,60.71,43,4,4.45,IN,1699415244
310,kosikha,53.3617,84.5822,25.52,91,81,5.55,RU,1699415245
311,imbituba,-28.24,-48.6703,61.95,91,11,15.64,BR,1699415245
312,luderitz,-26.6481,15.1594,60.04,73,0,17.07,NA,1699415245
313,atar,20.5169,-13.0499,62.55,45,3,10.83,MR,1699415245
314,anadyr,64.75,177.4833,18.1,93,75,11.18,RU,1699415246
315,buala,-8.145,159.5921,80.24,88,92,6.6,SB,1699415246
316,huarmey,-10.0681,-78.1522,65.55,87,47,7.58,PE,1699415246
317,notodden,59.5594,9.2585,32.72,92,97,3.96,NO,1699415247
318,luuq,3.7938,42.5445,78.85,78,79,9.86,SO,1699415247
319,orchard homes,46.8633,-114.0484,44.6,77,100,9.22,US,1699415247
320,nalhati,24.3,87.8167,80.22,38,0,2.1,IN,1699415247
321,lewistown,40.5992,-77.5714,51.37,66,0,8.05,US,1699415247
322,port saint john's,-31.6229,29.5448,65.08,71,100,6.71,ZA,1699415248
323,kamphaeng phet,16.25,99.5,85.01,72,68,1.19,TH,1699415248
324,comandante fontana,-25.3345,-59.6821,81.12,39,49,6.02,AR,1699415248
325,calca,-13.3333,-71.95,58.35,75,100,3.31,PE,1699415248
326,vittel,48.2009,5.9484,44.42,87,75,11.5,FR,1699415249
327,vilyuchinsk,52.9306,158.4028,28.67,85,100,7.65,RU,1699415249
328,ta`u,-14.2336,-169.5144,79.81,86,91,16.84,AS,1699415249
329,quinte west,44.1834,-77.5662,33.53,71,100,12.66,CA,1699415249
330,grand-bassam,5.2118,-3.7388,76.96,85,100,5.79,CI,1699415249
331,sisimiut,66.9395,-53.6735,20.46,67,99,4.56,GL,1699415250
332,bryne,58.7354,5.6477,37.94,93,0,2.3,NO,1699415250
333,xinhui,22.456,113.0482,84.15,71,97,11.5,CN,1699415250
334,ixtapa,20.7,-105.2,81.23,94,100,3.44,MX,1699415178
